Sentence;Schema;Schema Slot;Slot Value;Pattern;Lexical Trigger;Target LM;Target CM;Source LM;Source CM;Sentence ID;Sentence DE;QUALY;Source LM DE
The only person in perhaps seven hundred years who has truly walked in the steps of St. Paul, and his Lord, Jesus, is St. Francis, who died a miserable death of poverty, giving his life to the well being of others, whomever they were.;01 Health and Safety;Threatened;poverty;;death;poverty;Poverty;death;Life Stage;3121039;Der einzige Mensch in vielleicht siebenhundert Jahren, der wirklich in den Fußstapfen des heiligen Paulus und seines Herrn Jesus wandelt, ist der heilige Franziskus, der einen elenden Tod in Armut starb und sein Leben dem Wohlergehen anderer, wen auch immer, hingab Sie sind.;low;Tod
Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.;01 Health and Safety;Threatened;democracy;;destroy;democracy;Democracy;destroy;Natural Physical Force;2664153;Zivile Nationen müssen sich einstimmig einer rauen Nation widersetzen, deren Präsident offen seine Absicht erklärt, die einzige Demokratie des Nahen Ostens zu zerstören.;high;zerstören
[I]f we and our posterity reject religious instruction and authority, violate the rules of eternal justice, trifle with the injunctions of morality, and recklessly destroy the political constitution which holds us together, no man can tell how sudden a catastrophe may overwhelm us that shall bury all our glory in profound obscurity.;01 Health and Safety;Threatened;constitution;;destroy;constitution;Government;destroy;Natural Physical Force;637507;[I]Wenn wir und unsere Nachwelt Religionsunterricht und Autorität ablehnen, die Regeln der ewigen Gerechtigkeit verletzen, mit den Geboten der Moral spielen und die politische Verfassung, die uns zusammenhält, rücksichtslos zerstören, kann kein Mensch wissen, wie plötzlich eine Katastrophe uns überwältigen kann die all unsere Herrlichkeit in tiefster Dunkelheit begraben wird.;medium;zerstören
A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.;01 Health and Safety;Threatened;wealth;;devastation;wealth;Wealth;devastation;Natural Physical Force;2378356;Ein rückläufiger Trend, der versucht, die bullische Denkweise durch Vermögensvernichtung neu zu kalibrieren. In beiden Fällen ist das Ziel das gleiche: Eine Verwerfung in der Marktpsychologie zu schaffen, die die Munition liefert, die notwendig ist, um die Konvergenz der technischen Widerstandspunkte anzugehen, an der wir uns derzeit befinden gegenüber.;low;Vermögensvernichtung
Once this dynamic takes hold, real estate turns into a wealth disaster.;01 Health and Safety;Threatened;wealth;;disaster;wealth;Wealth;disaster;Natural Physical Force;2378354;Sobald diese Dynamik greift, werden Immobilien zu einer Vermögenskatastrophe.;medium;Vermögenskatastrophe
When I was growing up GA was a safe haven of gun rights and now it is just as bad as NYC!;01 Health and Safety;Threatened;gun rights;;haven;gun rights;Gun Rights;haven;Natural Physical Force;2378634;Als ich aufwuchs, war GA ein sicherer Hafen für Waffenrechte und jetzt ist es genauso schlimm wie NYC!;high;Hafen
Let them know that what we want isn't annihilation of guns.;01 Health and Safety;Threatened;guns;;annihilation;guns;Guns;annihilation;Natural Physical Force/Physical Harm;3124071;Lassen Sie sie wissen, dass wir nicht die Vernichtung von Waffen wollen.;high;Vernichtung
So if we allow this inequity to continue and to destroy our democracy that is a blow for fledgeling democracies everywhere.;01 Health and Safety;Threatened;democracy;;destroy;democracy;Democracy;destroy;Natural Physical Force/Physical Harm;155561;Wenn wir also zulassen, dass diese Ungerechtigkeit fortbesteht und unsere Demokratie zerstört, ist das ein Schlag für junge Demokratien überall.;high;zerstört
Democratic Senator Joseph Biden of Delaware, an announced contender for the Democratic presidential nomination in 2008, called Israels actions a totally legitimate self-defense effort prompted by an unprovoked effort by terrorist organizations supported by outside states to destroy a democracy in the Middle East.;01 Health and Safety;Threatened;democracy;;destroy;democracy;Democracy;destroy;Natural Physical Force/Physical Harm;443767;Der demokratische Senator Joseph Biden aus Delaware, ein angekündigter Anwärter auf die Präsidentschaftskandidatur der Demokraten im Jahr 2008, bezeichnete Israels Vorgehen als völlig legitime Selbstverteidigungsbemühungen, die durch einen unprovozierten Versuch terroristischer Organisationen ausgelöst wurden, die von externen Staaten unterstützt wurden, um eine Demokratie im Nahen Osten zu zerstören.;high;zerstören
Destroy the 2nd amendment and what next.;01 Health and Safety;Threatened;2nd amendment;;Destroy;2nd amendment;Gun Rights;Destroy;Natural Physical Force/Physical Harm;3123770;Zerstöre die 2. Änderung und was als nächstes.;high;Zerstöre
and he ignores the fact that a strong majority of police officers do not support that liberal scheme against gun ownership note he cannot actually proffer a logical argument as to why registration does anything positive why-because the real motivations of those who seek registration is not to stop crime but to incrementally destroy our gun rights;01 Health and Safety;Threatened;gun rights;;destroy;gun rights;Gun Rights;destroy;Natural Physical Force/Physical Harm;2887919;und er ignoriert die Tatsache, dass eine große Mehrheit der Polizeibeamten dieses liberale System gegen den Waffenbesitz nicht unterstützt, und merkt an, dass er kein logisches Argument dafür vorbringen kann, warum die Registrierung etwas Positives bewirkt – weil die wahren Beweggründe derer, die eine Registrierung beantragen, darin bestehen, dies nicht zu tun Verbrechen zu stoppen, sondern unsere Waffenrechte schrittweise zu zerstören;medium;zerstören
the anti gun scum bags try to incrementally destroy gun rights-hoping that when its time to finally ban guns, there won't be real resistance.;01 Health and Safety;Threatened;gun rights;;destroy;gun rights;Gun Rights;destroy;Natural Physical Force/Physical Harm;3124208;Die Anti-Waffen-Abschaumbeutel versuchen, Waffenrechte schrittweise zu zerstören – in der Hoffnung, dass es keinen wirklichen Widerstand geben wird, wenn es an der Zeit ist, Waffen endgültig zu verbieten.;medium;zerstören
Human rights are thus violated in order to be defended, democracy is destroyed to safeguard democracy, life is eliminated to preserve life.;01 Health and Safety;Threatened;democracy;;destroyed;democracy;Democracy;destroyed;Natural Physical Force/Physical Harm;1699907;Menschenrechte werden also verletzt, um sie zu verteidigen, Demokratie wird zerstört, um Demokratie zu schützen, Leben wird ausgelöscht, um Leben zu erhalten.;high;zerstört
The mechanism for gun rights destruction was the Firearms Control Act (FCA), passed in 2000 by the South African Parliament.;01 Health and Safety;Threatened;gun rights;;destruction;gun rights;Gun Rights;destruction;Natural Physical Force/Physical Harm;3123769;Der Mechanismus zur Zerstörung von Waffenrechten war der Firearms Control Act (FCA), der im Jahr 2000 vom südafrikanischen Parlament verabschiedet wurde.;high;Zerstörung
- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.;01 Health and Safety;Threatened;Second Amendment;;destruction;Second Amendment;Gun Rights;destruction;Natural Physical Force/Physical Harm;3766376;- Obama setzt den Prozess fort, Amerika in etwas zu verwandeln, das Nazi-Deutschland ähnelt, mit erzwungenem Nationaldienst, einheimischen zivilen Spionen, unbefugten Abhörmaßnahmen, der Zerstörung des zweiten Verfassungszusatzes und dem Kriegsrecht.;high;Zerstörung
While nonâ€“gun advocates may strain to see the link between prohibiting the destruction of guns and defending the Second Amendment, it makes sense when you consider the attitude of the NRA and its supporters: any encroachment on gun rights--defined as the right to own any firearm, at any time--is a threat to all gun rights.;01 Health and Safety;Threatened;guns;;destruction;guns;Guns;destruction;Natural Physical Force/Physical Harm;3124051;Während Nicht-Waffen-Befürworter sich bemühen mögen, die Verbindung zwischen dem Verbot der Zerstörung von Waffen und der Verteidigung des zweiten Verfassungszusatzes zu sehen, macht es Sinn, wenn man die Haltung der NRA und ihrer Unterstützer betrachtet: jeder Eingriff in Waffenrechte – definiert als das Recht zu jeder Zeit eine Schusswaffe zu besitzen – ist eine Bedrohung aller Waffenrechte.;high;Zerstörung
The devastation of democracy is clearly evident in the historical record.;01 Health and Safety;Threatened;democracy;;devastation;democracy;Democracy;devastation;Natural Physical Force/Physical Harm;155942;Die Verwüstung der Demokratie ist in den historischen Aufzeichnungen klar ersichtlich.;high;Verwüstung
"I'm beginning to think that the US Constitution does not protect gun owners from landlords who ban guns on their premises, even though ""their premises"" is your private domicile.";01 Health and Safety;Threatened;Gun owners;;protect;gun owners;Guns;protect;Natural Physical Force/Protection;2909769;Ich fange an zu glauben, dass die US-Verfassung Waffenbesitzer nicht vor Vermietern schützt, die Waffen auf ihren Grundstücken verbieten, obwohl „ihr Grundstück“ Ihr Privatwohnsitz ist.;high;schützt
But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.;01 Health and Safety;Threatened;democracy;;damage;democracy;Democracy;damage;Physical Harm;3118430;Aber im Allgemeinen übertreiben die Leute die Sache mit Vorsicht und Zweifeln sehr, zum großen Schaden der Demokratie, mein Hauptpunkt in Nr. 24 oben.;medium;Schaden
Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.;01 Health and Safety;Threatened;representative democracy;;degradation;representative democracy;Democracy;degradation;Physical Harm;1787299;Präsidentschaftskandidaten um politisches Geld der LBA zu werben, erfordert eine vorsätzliche Missachtung der systembedingten Verschlechterung der repräsentativen Demokratie.;low;Verschlechterung
1) the strategy of the anti gun scum is to incrementally destroy gun rights 2) fineSwine admitted after the clinton gun ban was passed she wanted to confiscate every such gun listed in the Clinton bill but she didnt' have enough votes.;01 Health and Safety;Threatened;gun rights;destroy [threatened];destroy;gun rights;Gun Rights;destroy;Physical Harm;2892956;1) Die Strategie des Anti-Waffen-Abschaums besteht darin, Waffenrechte schrittweise zu zerstören. 2) FineSwine gab nach der Verabschiedung des Clinton-Waffenverbots zu, dass sie jede im Clinton-Gesetz aufgeführte Waffe beschlagnahmen wollte, aber sie hatte nicht genug Stimmen.;high;zerstören
But he is making a pretty bold statement about the fees they're charging, and how quickly they destroy investors' wealth.;01 Health and Safety;Threatened;wealth;;destroy;wealth;Wealth;destroy;Physical Harm;2672136;Aber er macht eine ziemlich mutige Aussage über die Gebühren, die sie erheben, und wie schnell sie das Vermögen der Anleger zerstören.;high;zerstören
Let us hope that our stunning technological powers are someday matched by the wisdom to stop destroying the unimaginable medicinal riches that undoubtedly still lie undiscovered in obscure little plants growing in the forests and grasslands and deserts and marshes of the earth.;01 Health and Safety;Threatened;riches;;destroying;riches;Wealth;destroying;Physical Harm;126588;Hoffen wir, dass unsere atemberaubenden technologischen Kräfte eines Tages von der Weisheit übertroffen werden, die Zerstörung der unvorstellbaren medizinischen Reichtümer zu stoppen, die zweifellos noch immer unentdeckt in obskuren kleinen Pflanzen liegen, die in den Wäldern und Wiesen und Wüsten und Sümpfen der Erde wachsen.;high;Zerstörung
For those few examples, we are then suppose to accept their belief that if we have registration in the USA the eventual nextstep will be a confiscation of guns and a destruction of the right to bear arms.;01 Health and Safety;Threatened;the right to bear arms;destruction of [threatened];destruction of;right to bear arms;Gun Rights;destruction;Physical Harm;2665606;Für diese wenigen Beispiele sollen wir dann ihre Überzeugung akzeptieren, dass der nächste Schritt, wenn wir eine Registrierung in den USA haben, die Beschlagnahme von Waffen und die Zerstörung des Rechts, Waffen zu tragen, sein wird.;high;Zerstörung
A lifelong socialist, King saw poverty and racism intrinsically linked and as thus, gave a convincing argument for democratic socialism being the only hope for the destruction of poverty and racism in America, stating:;01 Health and Safety;Threatened;poverty;;destruction;poverty;Poverty;destruction;Physical Harm;2378123;Als lebenslanger Sozialist sah King Armut und Rassismus untrennbar miteinander verbunden und lieferte damit ein überzeugendes Argument dafür, dass der demokratische Sozialismus die einzige Hoffnung auf die Beseitigung von Armut und Rassismus in Amerika sei, indem er erklärte:;medium;0
But several of them want to characterize that as a disintegration of bureaucracy.;01 Health and Safety;Threatened;bureaucracy;;disintegration;bureaucracy;Bureaucracy;disintegration;Physical Harm;3119501;Aber einige wollen das als Bürokratiezerfall charakterisieren.;high;Bürokratiezerfall
The government slowly eroding gun rights is the same as a landlord taking away tenant space.;01 Health and Safety;Threatened;gun rights;eroding [threatened];eroding;gun rights;Gun Rights;eroding;Physical Harm;NA;Die Regierung, die Waffenrechte langsam untergräbt, ist dasselbe wie ein Vermieter, der Mietern Raum wegnimmt.;high;untergräbt
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.;01 Health and Safety;Threatened;gun rights;;harm;gun rights;Gun Rights;harm;Physical Harm;2905737;Was unseren Waffenrechten schaden könnte, ist dieses kürzliche Bestehen darauf, dass Verbrecher usw. Schusswaffen kaufen können.;high;schaden
Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale);01 Health and Safety;Threatened;civil liberties;;harms;civil liberties;Democracy;harms;Physical Harm;2457892;Lehnt Thema 14 entschieden ab: Der Patriot Act beeinträchtigt die bürgerlichen Freiheiten (-5 Punkte auf der Skala „Soziales“);medium;0
If I worried that something I wrote would either hurt democracy or help democracy, I would freeze up like someone with Parkinson's disease, he said on the morning of Super Tuesday.;01 Health and Safety;Threatened;democracy;;hurt;democracy;Democracy;hurt;Physical Harm;156274;Wenn ich mir Sorgen machen würde, dass etwas, das ich schreibe, der Demokratie schaden oder der Demokratie helfen könnte, würde ich erstarren wie jemand mit der Parkinson-Krankheit, sagte er am Morgen des Super Tuesday.;high;schaden
The people who exposed the gun owners in an attempt to harass and hurt gun owners, are themselves hiding behind armed guards.;01 Health and Safety;Threatened;gun owners;;hurt;gun owners;Guns;hurt;Physical Harm;2902840;Die Leute, die die Waffenbesitzer entlarvt haben, um Waffenbesitzer zu schikanieren und zu verletzen, verstecken sich selbst hinter bewaffneten Wachen.;high;verletzen
Has Inflation Hurt the Poor?;01 Health and Safety;Threatened;the Poor;;Hurt;the Poor;Poverty;Hurt;Physical Harm;2879867;Hat die Inflation den Armen geschadet?;high;geschadet
Right now we know diddly squat...and any time a mentally unstable jerkwad purchases a gun and goes postal it hurts our gun rights more than if we supported stronger mental health care.;01 Health and Safety;Threatened;our gun rights;hurts [threatened];hurts;gun rights;Gun Rights;hurts;Physical Harm;2117277;Im Moment wissen wir, dass wir uns nicht sicher sind … und jedes Mal, wenn ein psychisch instabiler Idiot eine Waffe kauft und auf die Post geht, verletzt es unsere Waffenrechte mehr, als wenn wir eine stärkere psychische Gesundheitsfürsorge unterstützen würden.;high;verletzt
There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.;01 Health and Safety;Threatened;gun rights;;impact;gun rights;Gun Rights;impact;Physical Harm;2823917;Dem Staatssenat liegen in den nächsten Tagen zwei Gesetzentwürfe vor, die Ihre Waffenrechte stark beeinträchtigen werden.;high;beeinträchtigen
As we move into 2007, Jones said things farmers need to watch for that could impact their income include international trade agreements, the U.S. farm bill debate, energy costs, interest rates, and national and world economic growth.;01 Health and Safety;Threatened;income;;impact;income;Wealth;impact;Physical Harm;498427;Zu Beginn des Jahres 2007 sagte Jones, dass Landwirte auf Dinge achten müssen, die sich auf ihr Einkommen auswirken könnten, darunter internationale Handelsabkommen, die US-Agrarrechnungsdebatte, Energiekosten, Zinssätze sowie nationales und weltweites Wirtschaftswachstum.;high;auswirken
Actually, we are talking about anything in the powers given to Congress which impacts firearms and I just gave you a raft of them.;01 Health and Safety;Threatened;firearms;impact(s) [threatened];impacts;firearms;Guns;impacts;Physical Harm;NA;Eigentlich sprechen wir über alles in den Befugnissen des Kongresses, das sich auf Schusswaffen auswirkt, und ich habe Ihnen gerade eine Menge davon gegeben.;high;auswirkt
You see this executive order as basically nothing that impacts gun owners here in the US.;01 Health and Safety;Threatened;gun owners;impact(s) [threatened];impacts;gun owners;Guns;impacts;Physical Harm;2905723;Sie sehen diese Exekutivverordnung im Grunde als nichts an, was Waffenbesitzer hier in den USA betrifft.;medium;0
Epidemic: Guns kill twice as many kids as cancer does;01 Health and Safety;Threatened;kids;kill [threatened];kill;Guns;Guns;kill;Physical Harm;NA;Epidemie: Waffen töten doppelt so viele Kinder wie Krebs;high;töten
Killing Poverty Has the corruption in Kenya lessened under its new president?;01 Health and Safety;Threatened;Poverty;;Killing;Poverty;Poverty;Killing;Physical Harm;1999909;Armut bekämpfen Hat die Korruption in Kenia unter seinem neuen Präsidenten nachgelassen?;high;bekämpfen
Managing Editor James Kelly said the three had been chosen as the people most effective at finding ways to eradicate such calamities as malaria in Africa, HIV and AIDS and the grinding poverty that kills 8 million people a year.;01 Health and Safety;Threatened;8 million people a year;kill [threatened];kills;Poverty;Poverty;kills;Physical Harm;58539;Der Chefredakteur James Kelly sagte, die drei seien als diejenigen ausgewählt worden, die am effektivsten Wege gefunden hätten, um solche Katastrophen wie Malaria in Afrika, HIV und AIDS und die erdrückende Armut auszurotten, die 8 Millionen Menschen pro Jahr tötet.;high;tötet
Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.;01 Health and Safety;Threatened;wealth;;preserving;wealth;Wealth;preserving;Physical Harm;628600;Vermögensverwaltung ist der Prozess der Vermehrung und Erhaltung des Vermögens und Vermögens einer Person sowie die Erstellung eines Plans für die nahtlose Übertragung dieser Vermögenswerte an die Begünstigten.;medium;Erhaltung
An Axis victory in Europe and Asia would threaten democracy in North America.;01 Health and Safety;Threatened;democracy;;threaten;democracy;Democracy;threaten;Physical Harm;458138;Ein Achsensieg in Europa und Asien würde die Demokratie in Nordamerika bedrohen.;high;bedrohen
"Instead, the government and media invested their resources in producing and circulating anti-blockade propaganda throughout the New Year season, proclaiming that the blockades were anti-patriotic, punished the poorest, and threatened ""democracy.""";01 Health and Safety;Threatened;democracy;;threatened;democracy;Democracy;threatened;Physical Harm;2453566;Stattdessen investierten die Regierung und die Medien ihre Ressourcen in die Produktion und Verbreitung von Anti-Blockade-Propaganda während der gesamten Neujahrssaison und verkündeten, dass die Blockaden antipatriotisch seien, die Ärmsten bestraften und die „Demokratie“ bedrohten.;high;bedrohten
Individually and collectively, we possess the power to protect and maintain democracy and democratic values.;01 Health and Safety;Threatened;democracy;;protect;democracy;Democracy;protect;Physical Harm/Protection;156080;Individuell und kollektiv besitzen wir die Macht, die Demokratie und demokratische Werte zu schützen und aufrechtzuerhalten.;high;schützen
Commonwealth Private Bank can help you build and protect your personal wealth.;01 Health and Safety;Threatened;personal wealth;;protect;personal wealth;Wealth;protect;Physical Harm/Protection;2080258;Die Commonwealth Private Bank kann Ihnen dabei helfen, Ihr persönliches Vermögen aufzubauen und zu schützen.;high;schützen
By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.;01 Health and Safety;Threatened;wealth;;attacking;wealth;Wealth;attacking;Physical Harm/Struggle/War;118314;Durch den Angriff auf den wirtschaftlichen Reichtum, den Irland für Großbritannien und die protestantischen Großgrundbesitzer Irlands erwirtschaftete, errang die Land League den Sieg, wo frühere Kampagnen für Rechte in Irland gescheitert waren.;high;Angriff
I have a right to defend my gun rights and will to the end.;01 Health and Safety;Threatened;gun rights;defend [threatened];defend;gun rights;Gun Rights;defend;Protection;2729239;Ich habe das Recht, meine Waffenrechte und meinen Willen bis zum Ende zu verteidigen.;high;verteidigen
What is curious is how people furiously defend gun rights, while don't for other weapons.;01 Health and Safety;Threatened;gun rights;;defend;gun rights;Gun Rights;defend;Protection;2896392;Merkwürdig ist, wie wütend die Leute Waffenrechte verteidigen, während sie es für andere Waffen nicht tun.;medium;verteidigen
How to Defend Your Gun Rights;01 Health and Safety;Threatened;Gun Rights;defend [threatened];Defend;Gun Rights;Gun Rights;Defend;Protection;NA;So verteidigen Sie Ihre Waffenrechte;high;verteidigen
Preserve, protect and defend the right to bear arms.;01 Health and Safety;Threatened;the right to bear arms;;defend;the right to bear arms;Gun Rights;defend;Protection;2407551;Bewahren, schützen und verteidigen Sie das Recht, Waffen zu tragen.;high;verteidigen
Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.;01 Health and Safety;Threatened;firearms;;defend;firearms;Guns;defend;Protection;2673214;Anscheinend hat die einfache Tatsache, dass etwa 80 % der Haushalte eine Waffe haben und dass nur 12 % der Bevölkerung weniger Waffenkontrolle befürworten, keinen Einfluss auf Ihre falsche Annahme, dass Waffenbesitzer dafür stimmen werden, ihre Schusswaffen zu verteidigen.;high;verteidigen
The failure to defend taxation has its cost.;01 Health and Safety;Threatened;taxation;;defend;taxation;Taxation;defend;Protection;3121777;Das Versäumnis, die Besteuerung zu verteidigen, hat seinen Preis.;high;verteidigen
Thomas defended voluntary poverty as good because it frees people from vices related to wealth.;01 Health and Safety;Threatened;poverty;;defended;poverty;Poverty;defended;Protection;118521;Thomas verteidigte die freiwillige Armut als gut, weil sie die Menschen von Lastern im Zusammenhang mit Reichtum befreit.;high;verteidigte
The group, the best-known defender of gun rights in America, scheduled a news conference for Friday.....<snip> I don't believe the NRA.;01 Health and Safety;Threatened;gun rights;defender of [threatened];defender of;gun rights;Gun Rights;defender;Protection;2904220;Die Gruppe, die bekannteste Verteidigerin von Waffenrechten in Amerika, hat für Freitag eine Pressekonferenz anberaumt... <schnipsel> Ich glaube der NRA nicht.;high;Verteidigerin
Now you are defending Felon's gun rights?;01 Health and Safety;Threatened;gun rights;;defending;gun rights;Gun Rights;defending;Protection;2719731;Jetzt verteidigst du die Waffenrechte von Felon?;high;verteidigst
GUN SAFES are designed to guard your guns against theft when you are NOT PRESENT.;01 Health and Safety;Threatened;guns;;guard;guns;Guns;guard;Protection;2669106;Waffentresore wurden entwickelt, um Ihre Waffen vor Diebstahl zu schützen, wenn Sie NICHT PRÄSENTIEREN.;low;schützen
They could have attacked the issue of judicial review head on, as Congress's proposed amendments had sought to do, but they chose not to, perhaps anticipating the public's attachment to the idea of the judiciary as the guardian of the Constitution.;01 Health and Safety;Threatened;constitution;;guardian;Constitution;Democracy/Government;guardian;Protection;3120513;Sie hätten die Frage der gerichtlichen Überprüfung frontal angreifen können, wie es die vorgeschlagenen Änderungen des Kongresses versucht hatten, aber sie entschieden sich dagegen, vielleicht in Erwartung der Bindung der Öffentlichkeit an die Idee der Justiz als Hüterin der Verfassung.;high;Hüterin
In my last column I warned, and I say again, the NRA is not the intrinsic guardian of the 2nd amendment, or more apparently, of constitutional rights.;01 Health and Safety;Threatened;2nd amendment;;guardian;2nd amendment;Gun Rights;guardian;Protection;3123803;In meiner letzten Kolumne habe ich gewarnt, und ich wiederhole es noch einmal, die NRB ist nicht der eigentliche Hüter der 2. Änderung, oder offensichtlicher, der verfassungsmäßigen Rechte.;high;Hüter
As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.;01 Health and Safety;Threatened;taxation;;guardian;taxation;Taxation;guardian;Protection;3121779;Während die GOP als Wächter der Besteuerung für die Reichen der Nation und Wächter der amerikanischen Unternehmen auftritt, opfert die Partei Programme, die langfristig dazu beitragen werden, Amerika weltweit stark und weniger abhängig zu machen.;high;Wächter
But because a story like this in a gun control haven like Chicago doesn't fit the anti-gun agenda of the main stream media, it will be buried in the rubble.;01 Health and Safety;Threatened;gun control;[threatened] haven;haven;gun control;Control of Guns;haven;Protection;NA;Aber weil eine Geschichte wie diese in einem Waffenkontrollhafen wie Chicago nicht in die Anti-Waffen-Agenda der Mainstream-Medien passt, wird sie in den Trümmern begraben.;high;Waffenkontrollhafen
CFG specializes in helping individuals and small businesses build, protect and preserve wealth and the management of trust and retirement plans.;01 Health and Safety;Threatened;wealth;;preserve;wealth;Wealth;preserve;Protection;129691;CFG ist spezialisiert auf die Unterstützung von Einzelpersonen und kleinen Unternehmen beim Aufbau, Schutz und Erhalt von Vermögen sowie auf die Verwaltung von Treuhand- und Pensionsplänen.;high;Schutz
"They wore T-shirts that said, ""Protect Our Civil Liberties.""";01 Health and Safety;Threatened;civil liberties;;protect;Civil Liberties;Democracy;Protect;Protection;2323025;Sie trugen T-Shirts mit der Aufschrift „Protect Our Civil Liberties“.;high;Protect
Its mission is to enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims and build coalitions that promote justice and mutual understanding.;01 Health and Safety;Threatened;civil liberties;;protect;civil liberties;Democracy;protect;Protection;2469884;Ihre Mission ist es, das Verständnis des Islam zu verbessern, den Dialog zu fördern, die bürgerlichen Freiheiten zu schützen, amerikanische Muslime zu stärken und Koalitionen zu bilden, die Gerechtigkeit und gegenseitiges Verständnis fördern.;high;schützen
The coalition works for rights of undocumented, to protect civil liberties and, someday, a full integration of immigrants into the American Dream.;01 Health and Safety;Threatened;civil liberties;;protect;civil liberties;Democracy;protect;Protection;2917931;Die Koalition arbeitet für die Rechte von Menschen ohne Papiere, den Schutz der bürgerlichen Freiheiten und eines Tages für eine vollständige Integration von Einwanderern in den amerikanischen Traum.;high;Schutz
Until last week, in spite of rhetoric stating that one of its principal goals in Colombia is to protect democracy, Washington had remained conspicuously silent regarding the recent anti-democratic maneuvers perpetrated by Colombia's hardliners.;01 Health and Safety;Threatened;democracy;;protect;democracy;Democracy;protect;Protection;2663969;Bis letzte Woche hatte Washington trotz der Rhetorik, dass eines seiner Hauptziele in Kolumbien der Schutz der Demokratie sei, auffallend geschwiegen zu den jüngsten antidemokratischen Manövern der kolumbianischen Hardliner.;high;Schutz
These laws are really designed not to protect democracy but rather keep would be voters out.;01 Health and Safety;Threatened;democracy;;protect;democracy;Democracy;protect;Protection;2671166;Diese Gesetze sind wirklich nicht darauf ausgelegt, die Demokratie zu schützen, sondern die Wähler fernzuhalten.;high;schützen
This history exposes as a lie the case that parliaments alone can protect human rights.;01 Health and Safety;Threatened;human rights;;protect;human rights;Democracy;protect;Protection;2507289;Diese Geschichte entlarvt den Fall, dass Parlamente allein die Menschenrechte schützen können, als Lüge.;high;schützen
Support Secretaries of State in who will protect the election;01 Health and Safety;Threatened;election;;protect;election;Elections;protect;Protection;2664497;Unterstützen Sie die Außenminister darin, wer die Wahl schützen wird;high;schützen
Perhaps that statement aimed to reject speculation on the part of some US politicians, such as Senator Bob Graham, who attributed Bush's refusal to an effort to protect the Saudi government.;01 Health and Safety;Threatened;government;;protect;government;Government;protect;Protection;2666831;Vielleicht zielte diese Erklärung darauf ab, Spekulationen seitens einiger US-Politiker wie Senator Bob Graham zurückzuweisen, der Bushs Weigerung dem Versuch zuschrieb, die saudische Regierung zu schützen.;high;schützen
The courts are not going to protect gun rights.;01 Health and Safety;Threatened;gun rights;;protect;gun rights;Gun Rights;protect;Protection;2165856;Die Gerichte werden die Waffenrechte nicht schützen.;high;schützen
"be part of all public polling and public discussion going forward.</p> <p>In Pew's question, respondents are asked, ""Which is more important, to control gun ownership, or protect gun rights?"", as if controlling gun ownership is its own goal";01 Health and Safety;Threatened;gun rights;;protect;gun rights;Gun Rights;protect;Protection;2427952;"Beteiligen Sie sich an allen öffentlichen Umfragen und öffentlichen Diskussionen in der Zukunft.</p> <p>In Pews Frage werden die Befragten gefragt: ""Was ist wichtiger, Waffenbesitz zu kontrollieren oder Waffenrechte zu schützen?"", als ob sie den Waffenbesitz kontrollieren würden ist sein eigenes Ziel";low;schützen
Joe, who is a Life Member of Gun Owners of America, committed in writing to protect your gun rights 100% of the time.;01 Health and Safety;Threatened;gun rights;;protect;gun rights;Gun Rights;protect;Protection;2834468;Joe, der ein lebenslanges Mitglied von Gun Owners of America ist, hat sich schriftlich verpflichtet, Ihre Waffenrechte zu 100 % zu schützen.;high;schützen
Dudley claimed to be at the United Nations for the Arms Trade Treaty conference, yet nobody saw him in the building, but they did see Alan Gottlieb there, fighting to protect Americans' gun rights.;01 Health and Safety;Threatened;gun rights;;protect;gun rights;Gun Rights;protect;Protection;2869006;Dudley behauptete, an der Waffenhandelsvertragskonferenz der Vereinten Nationen teilzunehmen, aber niemand sah ihn im Gebäude, aber sie sahen dort Alan Gottlieb, der für den Schutz der Waffenrechte der Amerikaner kämpfte.;high;Schutz
No, I want to protect gun rights to save individual lives.;01 Health and Safety;Threatened;gun rights;;protect;gun rights;Gun Rights;protect;Protection;2907888;Nein, ich möchte Waffenrechte schützen, um Menschenleben zu retten.;high;schützen
